id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
537,Kingdom of the Planet of the Apes,7.08,3691.0,Released,2024-05-08,397378150.0,145.0,160000000.0,tt11389872,en,Kingdom of the Planet of the Apes,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",25.8167,No one can stop the reign.,"Science Fiction, Adventure, Action, Drama, Thriller","20th Century Studios, Oddball Entertainment, Jason T. Reed Productions",United States of America,English,"Olga Miller, Souleymane Diasse, Mitchell Roach, Dichen Lachman, Travis Jeffery, Nirish Bhat Surambadka, Andy McPhee, Freya Allan, Dmitriy Miller, Benjamin Scott, Kevin Durand, Nina Gallas, Ras-Samuel Welda'abzgi, Markus Hamilton, Kaden Hartcher, Samuel Falé, Peter Hayes, Peter Macon, Sheree da Costa, Virginie Laverdure, Neil Sandilands, Lydia Peckham, Karin Konoval, Anastasia Miller, Frances Berry, Eka Darville, William H. Macy, Owen Teague, Sara Wiseman, Michael Spudic, Terry Notary",Wes Ball,Gyula Pados,"Josh Friedman, Amanda Silver, Rick Jaffa","Jason Reed, Wes Ball, Amanda Silver, Rick Jaffa, Jenno Topping, Peter Chernin, Joe Hartwick Jr.",John Paesano,6.9,152232.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,2024,237378150.0,148.36134375,https://www.imdb.com/title/tt11389872/
538,Two Weeks Notice,6.4,2071.0,Released,2002-12-19,199043242.0,101.0,60000000.0,tt0313737,en,Two Weeks Notice,"Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George.",3.2115,Over. Done. Finished. A comedy about love at last glance.,"Romance, Comedy","Fortis Films, Castle Rock Entertainment, Village Roadshow Pictures, NPV Entertainment",United States of America,English,"Charlotte Maier, Norah Jones, Dori Kancher, Craig 'Radio Man' Castaldo, Sandra Bullock, Jonathan Dokuchitz, David Aaron Baker, Sebastian Rand, Veanne Cox, William Thourlby, Mark Zeisler, Wynter Kullman, Jason Antoon, Hugh Grant, Alicia Witt, Adam LeFevre, Rocco Musacchia, Libby West, David Haig, Heather Burns, Dana Ivey, Robert Klein, Elizabeth Owens, Joseph Badalucco Jr., Francie Swift, Dorian Missick, Mike Piazza, Becky Ann Baker, George Gearhart King III, Donald Trump, Nadine Mozon, Teagle F. Bougere, Katheryn Winnick, Janine LaManna, Adam Grupper, Mark Feuerstein, Bill Bowers, John Cunningham, Mandy Siegfried, José Ramón Rosario, Johnny Dee, Marina Lutz, Tim Kang, Shannon Fiedler, Iraida Polanco, Sharon Wilkins",Marc Lawrence,László Kovács,Marc Lawrence,"Bruce Berman, Sandra Bullock, Mary McLaglen",John Powell,6.2,130741.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/r18hSGAcxWiUysbX6nFShIZyjjP.jpg,2002,139043242.0,231.73873666666665,https://www.imdb.com/title/tt0313737/
539,You and I,4.8,44.0,Released,2011-02-03,0.0,101.0,20000000.0,tt1046171,ru,You and I,"Janie Sawyer, an American teenager, is forced to live in Moscow because of her father's job. Janie is trying to escape her lonely life in Moscow through her deep love of music and the internet. Janie and Lana Starkova meet on a fansite for the pop-band t.A.T.u. Trapped in a small Russian town, Lana wants desperately nothing more than to flee her mundane life causing the two girls to develop an instant connection through their love of t.A.T.u.'s music.",0.6105,Love and desire... It gets complicated.,"Drama, Romance","RAMCO, Angels Kiss","Russia, United States of America","English, Pусский","Helena Mattsson, Igor Desyatnikov, Elena Saar, Ekaterina Malikova, Aleksandr Byelonogov, Alika Smekhova, Grigoriy Levakov, Shantel VanSanten, Anton Yelchin, Charlie Creed-Miles, Darya Charusha, Lena Katina, Artak Kazaryan, Bronson Pinchot, Natalya Medvedeva, Kseniya Ivanova, Vladimir Yaglych, Julia Volkova, Dominika Juillet, Galina Zvyagintseva, Mischa Barton, Alex Kaluzhsky, Olga Spirkina, Evgeny Koryakovsky, Aleksandr Semchev, Ruslan Sasin, Maksim Maltsev, Vladimir Kolosov, Aleksei Mitrofanov, Andrey Sviridov, Olesya Sudzilovskaya, Seth William Meier",Roland Joffé,Philip Robertson,"Andrew Cullen, Luke Goltz, Aleksei Mitrofanov, Anastasiya Moiseyeva, Shawn Schepps","Igor Desyatnikov, Boris Renski, Stephen Nemeth, Leonid Minkovski, Sergei Konov, Aleksandr Shishkin",Jeff Cardoni,4.4,2476.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/sxBziq7H5aKlwvLg0lJFXrfLzyM.jpg,2011,0.0,0.0,https://www.imdb.com/title/tt1046171/
540,Tristan & Isolde,6.7,797.0,Released,2006-04-07,28000000.0,125.0,31000000.0,tt0375154,en,Tristan & Isolde,An affair between the second in line to Britain's throne and the princess of the feuding Irish spells doom for the young lovers.,7.5977,Fighting countries can still love...,"Drama, Romance","QI Quality International GmbH Co. KG, Epsilon Motion Pictures, Franchise Pictures, Scott Free Productions, World 2000 Entertainment, Stillking Films, ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I), MFF (Tristan & Isolde) Limited, 20th Century Fox, Mandate International, Mazowiecki i Warszawski Fundusz Filmowy","Czech Republic, Germany, Ireland, Switzerland, United Kingdom, United States of America","English, Español","Ronan Vibert, Dexter Fletcher, Graham Mullins, Rufus Sewell, Cheyenne Rushing, Kevin Flood, Leo Gregory, Jón Ólafsson, Sophia Myles, JB Blanc, Mark Strong, Philip O'Sullivan, James Franco, Wolfgang Müller, Myles Taylor, Bronagh Gallagher, Todd Kramer, Isobel Moynihan, Bronwen Davies, Thomas Brodie-Sangster, Henry Cavill, Marek Vašut, Barbora Kodetová, Thomas Morris, Jack Montgomery, David O'Hara, Jamie Thomas King, Miroslav Šimůnek, Winter Ave Zoli, David Fisher, Hans Martin Stier, Richard Dillane, Lucy Russell, Gordon Truefitt, Nevan Finegan",Kevin Reynolds,Artur Reinhart,Dean Georgaris,"Moshe Diamant, Lisa Ellzey, Ridley Scott, Tony Scott, Jim Lemley, John Hardy, Frank Hübner, Giannina Facio, Matthew Stillman, Elie Samaha",Anne Dudley,6.8,55054.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/r7TpY5hJ4jQGH7c8yzJgBnTwPH6.jpg,2006,0.0,0.0,https://www.imdb.com/title/tt0375154/
541,Scarecrows,5.164,125.0,Released,1988-09-28,0.0,83.0,425000.0,tt0096046,en,Scarecrows,"Five men heist the Camp Pendleton payroll and kidnap a pilot and his daughter, who are forced to fly them to Mexico. Enroute a double cross has one of the thieves parachute with the loot into an abandoned farm surrounded by strange scarecrows. The rest of the team jump after their loot and their former partner. Everything happens during the course of one very dark night.",1.9635,Trespassers will be violated,Horror,Effigy Films,United States of America,English,"Tony Santory, Michael David Simms, Mike Balog, Victoria Christian, Phil Zenderland, David James Campbell, Kristina Sanborn, Richard Vidan, Ted Vernon, B.J. Turner, Don Herbert",William Wesley,Peter Deming,"William Wesley, Richard Jefferies","Ted Vernon, Cami Winikoff, William Wesley",Terry Plumeri,5.3,5916.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xaUdO29mwujiz2NcicSAk4u1NIJ.jpg,1988,0.0,0.0,https://www.imdb.com/title/tt0096046/
542,About Last Night,6.0,507.0,Released,2014-02-14,49002684.0,100.0,12500000.0,tt1826590,en,About Last Night,"Bernie and Joan are two fiery flirters who are passionate about everything from hookups to breakups and each other. When he sets up his best friend, Danny, with her roommate, Debbie, the sparks soon fly as they try to navigate the relationship minefields from the bar to the bedroom and are eventually put to the test in the real world.",1.619,It's about compromise. It's about love. It's about a good wingman.,"Comedy, Romance","Olive Bridge Entertainment, Rainforest Entertainment, Screen Gems",United States of America,English,"Michael Ealy, Kevin Hart, Tracey Graves, Brenda Vivian, James McAndrew, Jessica Lu, Jack Betts, Paula Patton, Trae Ireland, David Greenman, Stan Weightman Jr., Brian Swinehart, Joe Lo Truglio, Christopher McDonald, Paul Quinn, Selita Ebanks, Jason Axinn, Barrett Perlman, Kristin Slaysman, Adam Rodriguez, Hailey Boyle, Michael Voltaggio, Catherine Shu, Mehcad Brooks, Krystal M. Harris, Terrell Owens, Joy Bryant, Randolph Adams, Steve Terada, Jovanny Venegas, Bryan Callen, Scarlett Burke, Regina Hall",Steve Pink,Michael Barrett,"David Mamet, Tim Kazurinsky, Leslye Headland","Will Packer, Alicia Emmrich, Glenn S. Gainor, Will Gluck",Marcus Miller,6.0,25537.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/z3dVYQtxXldDawz7d15wqt2PQLe.jpg,2014,36502684.0,292.021472,https://www.imdb.com/title/tt1826590/
543,Stay Hungry,5.7,79.0,Released,1976-04-23,24854765.0,102.0,5000000.0,tt0075268,en,Stay Hungry,"A dishonest businessman asks rich layabout Craig Blake to help him buy a gym, which will be demolished for a development project in Alabama. But after spending time with weightlifter Joe Santo and gym worker Mary Tate Farnsworth, Craig wants out of the deal. The property negotiations turn ugly, causing a brawl at the gym and a spectacle at a big bodybuilding meet, as Craig learns that it's not easy to turn your back on fair-weather friends.",3.04,If you've got an appetite for life…,"Comedy, Drama","United Artists, Outov Productions",United States of America,English,"Ken Waller, Richard Gilliland, Byron Berline, Samson Burke, Susan Bridges, R.G. Armstrong, Laura Hippe, Woodrow Parfrey, Scatman Crothers, Franco Columbu, Bob Westmoreland, Joanna Cassidy, Clifford A. Pellow, Brandy Wilde, Roger E. Mosley, Autry Pinson, Denny Gable, Robert Englund, Jeff Bridges, Sally Field, Garry Goodrow, Paul Chramer, Kathleen Miller, Fannie Flagg, Helena Kallianiotes, Ed Begley Jr., Murray Johnson, Dennis Fimple, Roger Callard, Bob Rafelson, Mayf Nutter, Robbie Robinson, Jolene Wolff, Arnold Schwarzenegger, John Gilgreen, Martin Hames, John David Carson, Ed Corney, Sam Ingraffia, Bart Carpinelli, Dennis Burkley, Joe Spinell",Bob Rafelson,Victor J. Kemper,"Charles Gaines, Bob Rafelson","Harold Schneider, Bob Rafelson","Byron Berline, Bruce Langhorne",5.6,5330.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6WNMcRYtk74QNL53ZxVIDjpBbzF.jpg,1976,19854765.0,397.0953,https://www.imdb.com/title/tt0075268/
544,Ode to Joy,6.2,121.0,Released,2019-09-08,17303.0,97.0,0.0,tt3009772,en,Ode to Joy,"Charlie suffers from a serious disease that causes acute narcolepsy whenever he is happy. Although he develops a variety of techniques to deny himself pleasure and deal with his sleep issues, they’re put to the test when he falls in love.",1.1287,He's never been happier. And that's the problem.,"Comedy, Drama, Romance","Mosaic, IFC Films, Small Dog Picture Company, This American Life",United States of America,English,"Martin Freeman, Jane Curtin, Melissa Rauch, Willie C. Carpenter, Jake Lacy, Jason Altman, Ellis Rubin, Ravi Cabot-Conyers, Tyler Bourke, Morena Baccarin, Shannon Woodward, Adam Shapiro, dL Sams, Jackie Seiden, Ed Herbstman",Jason Winer,David Robert Jones,"Chris Higgins, Max Werner","Alissa Shipp, Mike Falbo, Jimmy Miller, Ira Glass, Michael Lasker, Jason Winer, Pamela Thur",Jeremy Turner,6.4,6913.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tpYPids0rVYTrtEjKPeXWZNwBk3.jpg,2019,17303.0,0.0,https://www.imdb.com/title/tt3009772/
545,The Passion of the Christ,7.522,4835.0,Released,2004-02-25,610063468.0,127.0,30000000.0,tt0335345,en,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,20.976,"By his wounds, we were healed.",Drama,Icon Productions,United States of America,"עִבְרִית, Latin","Jarreth J. Merz, Angelo Di Loreta, Romuald Kłos, Hristo Shopov, Francesco Cabras, Giacinto Ferro, Daniela Poti, Arianna Vitolo, Danilo Di Ruzza, Evelina Meghnagi, Nicola Tagarelli, Roberto Bestazzoni, Francesco De Vito, Aleksander Mincer, Maurizio Di Carmine, Luciano Federico, Nuot Arquint, Ornella Giusto, Adel Ben Ayed, Vincenzo Monti, Lucio Allocca, Luciano Dragone, Chokri Ben Zagden, Davide Marotta, Rosalinda Celentano, Francesco Gabriele, Danilo Maria Valli, Roberto Santi, Tom Shaker, Giovanni Vettorazzo, Lello Giulivo, Giovanni Capalbo, Andrea Coppola, Paco Reconti, Luca De Dominicis, Abraam Fontana, Valerio Isidori, Lucia Stara, Toni Bertorelli, Paulo dos Santos, Francesco De Rosa, Michelle Bonev, Gabriella Barbuti, Francis Dokyi, Andrea Refuto, Noemi Marotta, Emanuele Gullotto, Lino Salemme, Ted Rusoff, Antonello Iacovone, Emilio De Marchi, Sergio Rubini, Franco Costanzo, Dario D'Ambrosi, Valerio Esposito, Luca Lionello, Christo Jivkov, Matt Patresi, Sheila Mokhtari, Maia Morgenstern, Adel Bakri, Mattia Sbragia, Monica Bellucci, Domenico Capalbo, Claudia Gerini, Jim Caviezel, Roberto Visconti, Federico Pacifici, Rossella Longo, Pietro Sarubbi, Giuseppe Lo Console, Abel Jafri, Fabio Sartor, Sabrina Impacciatore, Ivan Gaudiano",Mel Gibson,Caleb Deschanel,"Mel Gibson, Benedict Fitzgerald","Stephen McEveety, Enzo Sisti, Mel Gibson, Bruce Davey","Gingger Shankar, John Debney",7.2,262637.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/v9f9MMrq2nGQrN7cHnQRmEq9lSE.jpg,2004,580063468.0,1933.5448933333332,https://www.imdb.com/title/tt0335345/
546,I Love My Mum,5.0,11.0,Released,2019-05-31,0.0,87.0,2000000.0,tt7056906,en,I Love My Mum,A mother and son duo get inadvertently shipped in a container from London to Morocco with nothing but their pajamas. The adventure takes them through Spain and France on a journey to get home and rebuild their rocky relationship.,5.127,I would give anything to know i am adopted.,Comedy,"Camelot Films, Pop Cow Films, Amunet Productions",United Kingdom,Français,"Frank Lebœuf, Aida Folch, Dominique Pinon, Tommy French, Younes Bouab, Fatsah Bouyahmed, Gabriel Andreu, Sara Martins, Tim Downie, Kierston Wareing",Alberto Sciamma,Fabio Paolucci,Alberto Sciamma,"Matt Hookings, Alexa Waugh",Massimiliano Lazzaretti,4.5,436.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/oVqPHDDpEn1yi8QfVIdpXgreVg0.jpg,2019,0.0,0.0,https://www.imdb.com/title/tt7056906/
547,Hardcore Henry,6.392,2462.0,Released,2015-09-12,16810562.0,96.0,2000000.0,tt3072482,en,Hardcore Henry,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore Henry takes place over the course of one day, in Moscow, Russia.",2.8528,First they made him dangerous. Then they made him mad.,"Action, Adventure, Science Fiction","Bazelevs Production, Versus Pictures, Huayi Brothers Pictures","Russia, United States of America, China","English, Pусский","Polina Filonenko, Varvara Borodina, Dina Grebeneva, Aleksandr Pal, Oleg Ermolaev, Kseniya Orlova, Aleksander Gordeev, Sergey Shnurov, Andrey Berezkin, Helga Lovekaty, Sergei Solomonov, Sergey Mezentsev, Natalya Obedkova, Marina Zinoveva, Tim Roth, Martin Cooke, Ivan Isyanov, Uliya Stetsenko, Evgeniy Bazhenov, Victoria Golubtsova, Evgeny Pilipenko, Danila Kozlovsky, Feodor Elutine, Kirill Byrkin, Svetlana Ustinova, Boris Barabanov, Boris Bolelov, Aleksandr Firsanov, Darya Charusha, Will Stewart, Ravshana Kurkova, Alexey Agafonov, Polina Zueva, Regina Surmina, Mikhail Mikhitarov, Alyona Chekhova, Aleksandr Kraevskiy, Aliya Lando, Anastasiya Akulina, Andrey Rusanov, Lado Kvataniya, Svetlana Gvozdeva, Diana Shugurova, Maria Vishnjakova, Evgenia Lukyanova, Marina Celisheva, Tatyana Abramova, Tatiana Paladiy, Cyrus Arnold, Uliya Ivanova, Vasiliy Bobylev, Natalya Sushkova, Elena Skvortsova, Mikhail Izotov, Vladimir Lukyanchikov, Roman Leshenko, Sergei Valyaev, Ilya Naishuller, Anna Sushko, Jack Hahn, Anton Banin, Elena Berkova, Jake Karlen, Svetlana Malyisheva, Sharlto Copley, Ilya Kondratiev, Bruce Grant, Alexander Podshibiakin, Prokhor Zikora, Sergey Chekrygin, Aleksandr Yatsenko, Vitaly Voskeresenski, Ivan Kolomicev, Haley Bennett, Aleksey Alekseev, Alexandr Gokh, Kirill Serebrennikov, Ekaterina Kormakova, Liya Sitdikova, Victor Gorbachev, Anna Shumeyko, Diana Dzhemeleva, Alexei Zamaraev, Olga Chubarova, Oleg Poddubnyy, Alisa Poperechnaya, Andrey Dementyev, Anna Mozhaeva, Bruce N. Chelemer, Elena Pavlovskaya, Olga Miromanova, Rostislav Kaptur, Marina Vezhnavets, Svetlana Alekseeva, Yuliya Amirova, Alexander Pchela, Yuliya Kovaleva",Ilya Naishuller,"Vsevolod Kaptur, Pasha Kapinos, Fedor Lyass",Ilya Naishuller,"Robert Simonds, Matt Beurois, Alex A. Ginzburg, Wang Zhonglei, Donald Tang, Tony Lee, Oren Aviv, Will Stewart, Jerry Ye, Mariya Zatulovskaya, Inga Vainshtein Smith, Ilya Naishuller, Ekaterina Kononenko, Karina Sinenko, Adam Fogelson, Timur Bekmambetov, Sharlto Copley, Wang Zhongjun",Darya Charusha,6.7,105545.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ik1uZyiMSxF9HqrgRKUNfMCfr3z.jpg,2015,14810562.0,740.5281,https://www.imdb.com/title/tt3072482/
548,The Rock,7.1,4792.0,Released,1996-06-07,335062621.0,137.0,75000000.0,tt0117500,en,The Rock,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.",6.2962,Alcatraz. Only one man has ever broken out. Now five million lives depend on two men breaking in.,"Action, Adventure, Thriller","Don Simpson/Jerry Bruckheimer Films, Hollywood Pictures",United States of America,English,"Jack Yates, Rick Toms, Harry Humphries, Greg Collins, Jack Ford, Joseph Hawes, Ralph Peduto, Luenell, Tom Towles, John Enos III, Leonard McMahan, Hans Georg Struhar, Tony Todd, Mike Mahrer, Sean Connery, John C. McGinley, Raymond Cruz, Fred Salvallon, Stanley Anderson, Gregory Sporleder, Robert C. Besgrove, Xander Berkeley, Howard Platt, Duffy Gaver, Jane Sanguinetti, Dwight Hicks, Vanessa Marcil, Robert M. Anselmo, John Nathan, Todd Louiso, Ingo Neuhaus, Bokeem Woodbine, Brendan Kelly, Steve Harris, John Laughlin, John Spencer, David Marshall Grant, Buck Kartalian, Andy Ryan, Raymond O'Connor, John W. Love Jr., Juan A. Riojas, William Forsythe, Claire Forlani, Ronald Simmons, Nicolas Cage, Robert Ben Rajab, Thomas J. Hageboeck, Anthony Clark, Raquel Krelle, Sean Skelton, Matthew James Gulbranson, Anthony Guidera, David Morse, Marshall R. Teague, Jim Caviezel, Pat Skipper, Sam Whipple, Steve Decker, Jim Maniaci, Celeste Weaver, Stuart Wilson, Willie Garson, Dennis Chalker, Danny Nucci, Ed Harris, Joseph Patrick Kelly, Philip Baker Hall, Michael Biehn, David Bowe, Billy Devlin, Ken Kells, Carlos Sandoval",Michael Bay,John Schwartzman,"Jonathan Hensleigh, Douglas S. Cook, Mark Rosner, David Weisberg","Jerry Bruckheimer, Don Simpson, Sean Connery, William Stuart, Louis A. Stroller","Nick Glennie-Smith, Hans Zimmer",7.4,369518.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/j5mxLNWjUlXUUk8weFBtnF4afIR.jpg,1996,260062621.0,346.7501613333333,https://www.imdb.com/title/tt0117500/
549,The Master,6.459,123.0,Released,1992-05-28,8096542.0,92.0,0.0,tt0097775,cn,黃飛鴻'92之龍行天下,"When Master Tak, an old martial arts master, disappears, his best student, Jet, steps in to find him. However, when he learns that Tak's life is in danger, he decides to protect him at all costs.",1.8288,Loyalty. Honor. Vengence.,Action,"Film Workshop, Orange Sky Golden Harvest","Hong Kong, United States of America","English, 广州话 / 廣州話","Erwin Villezon, Tony Ling Chi-Wah, Jerry Trimble, Michael Burke, Derek Anunciation, George Cheung, John Trujillo, Kenneth Nowling, Spencer Platerns, Jet Li, Chris Carnel, Lee Fat-Yuen, Crystal Kwok, Cheung Ching, To Wai-Wo, Doc Watson, Yuen Wah, Stefanos Miltsakakis, Rubén C. González, Rich Hopkins, Pamela J. Anderson, David Wald, John Kreng, Steven Ho, Cheung Wing-Cheung, Ray Wizard, Henry Penzi, Billy Blanks, Mark Williams, Kevin Cole, Glen Chin, Anne Rickets, Yuen Gam-Fai, Guy Fadollone, Alfred Bonilla, Camille Carrigan, Dale Jacoby",Tsui Hark,"Paul A. Edwards, Henry Chan","Lau Tai-Muk, Jason Lam Kee-To, Tsui Hark","Tsui Hark, Anthony Chow Deng-Au, Michael Lai Siu-Tin",Tang Siu-Lam,5.7,3122.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/AkzUWuKGRISPsPlkO2lhzzTJdBO.jpg,1992,8096542.0,0.0,https://www.imdb.com/title/tt0097775/
